Index	Sylheti (Romanized)	Sylheti (Bangla Script)	Syloti Nagri (ꠍꠤꠟꠐꠤ ꠘꠣꠉꠞꠤ)	Bangla (Standard)	English (Standard)	Russian (Русский)	German (Deutsch)	Domain	Register
65.1	Tai khub shundor.	তাই খুব সুন্দর।	ꠔꠣꠁ ꠈꠥꠛ ꠡꠥꠘ꠆ꠖꠞ.	সে খুব সুন্দর।	She is very beautiful.	Она очень красива.	Sie ist очень schön.	Description	Standard/Written
66.1	Amra duio-zon zaimu.	আমরা দুইওজন যাইমু।	ꠀꠝꠞꠣ ꠖꠥꠁꠅ-ꠎꠘ ꠎꠣꠁꠝꠥ.	আমরা দুজনই যাবো।	Both of us will go.	Мы оба пойдем.	Wir beide werden gehen.	Daily Life	Informal
67.1	Dhorza bondho khoro.	ধরজা বন্ধ খরো।	ꠗꠞꠎꠣ ꠛꠘ꠆ꠗ ꠈꠞꠧ.	দরজা বন্ধ করো।	Close the door.	Закрой дверь.	Schließ die Tür.	Instruction	Informal
68.1	Pathor uxa oise.	পাথর উখা অইছে।	ꠙꠣꠕꠞ ꠃꠈꠣ ꠅꠁꠍꠦ.	পাথরটি উঁচু হয়েছে।	The stone is high.	Камень высок.	Der Stein ist hoch.	Nature	Standard/Written
68.2	Fathor uxa oise.	ফাথর উখা অইছে।	ꠚꠣꠕꠞ ꠃꠈꠣ ꠅꠁꠍꠦ.	পাথরটি উঁচু হয়েছে।	The stone is high.	Камень высок.	Der Stein ist hoch.	Nature	Colloquial/Spoken
69.1	Gari calani hikhso ni?	গাড়ি চালানি হিখছো নি?	ꠉꠣꠠꠤ ꠌꠣꠟꠣꠘꠤ ꠢꠤꠈꠍꠧ ꠘꠤ?	গাড়ি চালানো শিখেছো কি?	Have you learned to drive?	Ты научился водить машину?	Hast du Autofahren gelernt?	Inquiry	Informal
70.1	Meg dimu aiz.	মেঘ দিমু আইজ।	ꠝꠦꠉ ꠖꠤꠝꠥ ꠀꠁꠎ.	আজ বৃষ্টি হবে।	It will rain today.	Сегодня будет дождь.	Heute wird es regnen.	Weather	Informal
71.1	Kita lagia aiso?	কিতা লাগিয়া আইছো?	ꠇꠤꠔꠣ ꠟꠣꠉꠤꠀ ꠀꠁꠍꠧ?	কী জন্য এসেছো?	For what reason have you come?	Зачем ты пришел?	Warum bist du gekommen?	Inquiry	Standard/Written
72.1	Ruit uise bohut.	রুইত উইছে বহুত।	ꠞꠥꠁꠔ ꠃꠁꠍꠦ ꠛꠢꠥꠔ.	অনেক রোদ উঠেছে।	The sun has risen brightly.	Солнце светит ярко.	Die Sonne scheint hell.	Weather	Informal
73.1	Tar dimak nai.	তার দিমাক নাই।	ꠔꠣꠞ ꠖꠤꠝꠣꠇ ꠘꠣꠁ.	তার বুদ্ধি নেই।	He has no brain.	У него нет мозгов.	Er hat kein Gehirn.	Opinion	Informal
74.1	Ami kham-o zairam.	আমি খামো যাইরাম।	ꠀꠝꠤ ꠈꠣꠝ-ꠅ ꠎꠣꠁꠞꠣꠝ.	আমি কাজে যাচ্ছি।	I am going to work.	Я иду на работу.	Ich gehe zur Arbeit.	Daily Life	Informal
75.1	Afne zodi chan, ami zaimu.	আফনে যদি চান, আমি যাইমু।	ꠀꠚꠘꠦ ꠎꠥꠖꠤ ꠌꠣꠘ, ꠀꠝꠤ ꠎꠣꠁꠝꠥ.	আপনি যদি চান, আমি যাবো।	If you want, I will go.	Если вы хотите, я пойду.	Wenn Sie wollen, gehe ich.	Condition	Formal
76.1	Bhaixta ashse.	ভাইক্সতা আসছে।	ꠜꠣꠁꠇ꠆ꠍꠔꠣ ꠀꠡꠍꠦ.	ভাতিজা এসেছে।	The nephew has come.	Племянник пришел.	Der Neffe ist gekommen.	Family	Informal
77.1	Pua-r mat huno.	পুয়ার মাত হুনো।	ꠙꠥꠀ-ꠞ ꠝꠣꠔ ꠢꠥꠘꠧ.	ছেলেটির কথা শোনো।	Listen to the boy's words.	Послушай слова мальчика.	Hör dir die Worte des Jungen an.	Instruction	Standard/Written
77.2	Fua-r mat huno.	ফুয়ার মাত হুনো।	ꠚꠥꠀ-ꠞ ꠝꠣꠔ ꠢꠥꠘꠧ.	ছেলেটির কথা শোনো।	Listen to the boy's words.	Послушай слова мальчика.	Hör dir die Worte des Jungen an.	Instruction	Colloquial/Spoken
78.1	Tai khub zore haTe.	তাই খুব জোরে হাটে।	ꠔꠣꠁ ꠈꠥꠛ ꠎꠥꠞꠦ ꠢꠣꠐꠦ.	সে খুব দ্রুত হাঁটে।	She walks very fast.	Она ходит очень быстро.	Sie geht sehr schnell.	Description	Informal
79.1	Gao taki aisi, ba.	গাও তাকি আইছি, বা।	ꠉꠣꠅ ꠔꠣꠇꠤ ꠀꠁꠍꠤ, ꠛꠣ.	গ্রাম থেকে এসেছি, ভাই।	I have come from the village, brother.	Я пришел из деревни, брат.	Ich bin aus dem Dorf gekommen, Bruder.	Statement	Standard/Written
79.2	Gao taki aisi, ba.	গাও তাকি আইছি, বা।	ꠉꠣꠅ ꠔꠣꠈꠤ ꠀꠁꠍꠤ, ꠛꠣ.	গ্রাম থেকে এসেছি, ভাই।	I have come from the village, brother.	Я пришел из деревни, брат.	Ich bin aus dem Dorf gekommen, Bruder.	Statement	Colloquial/Spoken
80.1	Cokhur drishti vala nay.	চখুর দৃষ্টি ভালা নায়।	ꠌꠈꠥꠞ ꠖꠤꠞꠤꠡꠐꠤ ꠜꠣꠟꠣ ꠘꠣꠄ.	চোখের দৃষ্টি ভালো নয়।	The eyesight is not good.	Зрение не хорошее.	Die Sehkraft ist nicht gut.	Health	Standard/Written
80.2	Sokhur drishti vala nay.	ছখুর দৃষ্টি ভালা নায়।	ꠍꠈꠥꠞ ꠖꠤꠞꠤꠡꠐꠤ ꠜꠣꠟꠣ ꠘꠣꠄ.	চোখের দৃষ্টি ভালো নয়।	The eyesight is not good.	Зрение не хорошее.	Die Sehkraft ist nicht gut.	Health	Colloquial/Spoken
81.1	Ghoror chala bhangi gese.	ঘরর চালা ভাঙ্গি গেছে।	ꠊꠞꠞ ꠌꠣꠟꠣ ꠜꠣꠋꠉꠤ ꠉꠦꠍꠦ.	ঘরের ছাদ ভেঙে গেছে।	The roof of the house has broken.	Крыша дома сломалась.	Das Dach des Hauses ist gebrochen.	Home	Standard/Written
81.2	Ghoror sala bhangi gese.	ঘরর ছালা ভাঙ্গি গেছে।	ꠊꠞꠞ ꠍꠣꠟꠣ ꠜꠣꠋꠉꠤ ꠉꠦꠍꠦ.	ঘরের ছাদ ভেঙে গেছে।	The roof of the house has broken.	Крыша дома сломалась.	Das Dach des Hauses ist gebrochen.	Home	Colloquial/Spoken
82.1	Bapre bap, ki boro xaf!	বাপরে বাপ, কি বড় খাফ!	ꠛꠣꠙꠞꠦ ꠛꠣꠙ, ꠇꠤ ꠛꠠ ꠈꠣꠚ!	বাপরে বাপ, কী বড় সাপ!	Oh my god, what a big snake!	О боже, какая огромная змея!	Oh mein Gott, was für eine große Schlange!	Expression	Informal
83.1	Amra hokole zani.	আমরা হকলে জানি।	ꠀꠝꠞꠣ ꠢꠇꠟꠦ ꠎꠣꠘꠤ.	আমরা সবাই জানি।	We all know.	Мы все знаем.	Wir wissen alle.	Statement	Informal
84.1	Ami tokhon zani na.	আমি তখোন জানি না।	ꠀꠝꠤ ꠔꠈꠧꠘ ꠎꠣꠘꠤ ꠘꠣ.	আমি তখন জানি না।	I did not know then.	Я тогда не знал.	Ich wusste es damals nicht.	Statement	Informal
85.1	Amar hat kete gese.	আমার হাত কেটে গেছে।	ꠀꠝꠣꠞ ꠢꠣꠔ ꠇꠦꠐꠦ ꠉꠦꠍꠦ.	আমার হাত কেটে গেছে।	My hand got cut.	Я порезал руку.	Ich habe mir in die Hand geschnitten.	Health	Standard/Written
85.2	Amar hat xete gese.	আমার হাত খেটে গেছে।	ꠀꠝꠣꠞ ꠢꠣꠔ ꠈꠦꠐꠦ ꠉꠦꠍꠦ.	আমার হাত কেটে গেছে।	My hand got cut.	Я порезал руку.	Ich habe mir in die Hand geschnitten.	Health	Colloquial/Spoken
86.1	Tumi amar loge ao.	তুমি আমার লগে আও।	ꠔꠥꠝꠤ ꠀꠝꠣꠞ ꠟꠉꠦ ꠀꠅ.	তুমি আমার সাথে এসো।	Come with me.	Пойдем со мной.	Komm mit mir.	Instruction	Informal
87.1	Tai hano boise.	তাই হানো বইছে।	ꠔꠣꠁ ꠢꠣꠘꠧ ꠛꠁꠍꠦ.	সে সেখানে বসেছে।	She sat there.	Она села там.	Sie saß dort.	Action	Informal
88.1	Maza betha khorer.	মাজা বেথা খরের।	ꠝꠣꠎꠣ ꠛꠦꠕꠣ ꠈꠞꠦꠞ.	কোমর ব্যথা করছে।	My waist is hurting.	У меня болит поясница.	Meine Taille tut weh.	Health	Informal
89.1	Kun khet-o zaiso?	কুন খেত-ও যাইছো?	ꠇꠥꠘ ꠈꠦꠔ-ꠅ ꠎꠣꠁꠍꠧ?	কোন খেতে গিয়েছো?	Which field did you go to?	В какое поле ты пошел?	Auf welches Feld bist du gegangen?	Agriculture	Informal
90.1	Hokol-re salam deo.	হকল-রে সালাম দেও।	ꠢꠇꠟ-ꠞꠦ ꠍꠣꠟꠣꠝ ꠖꠦꠅ.	সবাইকে সালাম দাও।	Give greetings to everyone.	Поздоровайся со всеми.	Grüße alle.	Religion	Informal
91.1	Tain zodi asoin, vala oibo.	তাইন যদি আসইন, ভালা অইবো।	ꠔꠣꠁꠘ ꠎꠥꠖꠤ ꠀꠍꠁꠘ, ꠜꠣꠟꠣ ꠅꠁꠛꠧ.	তিনি যদি আসেন, ভালো হবে।	If he comes, it will be good.	Если он придет, это будет хорошо.	Wenn er kommt, wird es gut sein.	Condition	Formal
92.1	Amra bhat khairam nay.	আমরা ভাত খাইরাম নায়।	ꠀꠝꠞꠣ ꠜꠣꠔ ꠈꠣꠁꠞꠣꠝ ꠘꠣꠄ.	আমরা ভাত খাচ্ছি না।	We are not eating rice.	Мы не едим рис.	Wir essen keinen Reis.	Daily Life	Informal
93.1	Bhai-e amakan dise.	ভাইয়ে আমাকান দিছে।	ꠜꠣꠁꠄ ꠀꠝꠣꠇꠣꠘ ꠖꠤꠍꠦ.	ভাই আমাকে এটা দিয়েছে।	Brother gave this to me.	Брат дал это мне.	Der Bruder hat mir das gegeben.	Daily Life	Informal
94.1	Shobi nirab.	শবি নিরব।	ꠡꠛꠤ ꠘꠤꠞꠛ.	সবাই নীরব।	Everyone is silent.	Все молчат.	Jeder ist still.	Description	Informal
95.1	Pathor bhari bohut.	পাথর ভারি বহুত।	ꠙꠣꠕꠞ ꠜꠣꠞꠤ ꠛꠢꠥꠔ.	পাথরটি অনেক ভারী।	The stone is very heavy.	Камень очень тяжелый.	Der Stein ist sehr schwer.	Description	Standard/Written
95.2	Fathor bhari bohut.	ফাতর ভারি বহুত।	ꠚꠣꠕꠞ ꠜꠣꠞꠤ ꠛꠢꠥꠔ.	পাথরটি অনেক ভারী।	The stone is very heavy.	Камень очень тяжелый.	Der Stein ist sehr schwer.	Description	Colloquial/Spoken
96.1	Amar matha ghurar.	আমার মাথা ঘুরার।	ꠀꠝꠣꠞ ꠝꠣꠕꠣ ꠊꠥꠞꠣꠞ.	আমার মাথা ঘুরছে।	My head is spinning.	У меня кружится голова.	Mir ist schwindelig.	Health	Informal
97.1	Tumar ghor koi?	তুমার ঘর কই?	ꠔꠥꠝꠣꠞ ꠊꠞ ꠇꠂ?	তোমার ঘর কোথায়?	Where is your house?	Где твой дом?	Wo ist dein Haus?	Inquiry	Informal
98.1	Zoldi khoro, deri oizer.	জলদি খরো, দেরি অইযের।	ꠎꠟꠖꠤ ꠈꠞꠧ, ꠖꠦꠞꠤ ꠅꠁꠎꠦꠞ.	তাড়াতাড়ি করো, দেরি হচ্ছে।	Hurry up, it is getting late.	Поторопись, уже поздно.	Beeil dich, es wird spät.	Instruction	Informal
99.1	Hokol gese gi.	হকল গেছে গি।	ꠢꠇꠟ ꠉꠦꠍꠦ ꠉꠤ.	সবাই চলে গেছে।	Everyone has left.	Все ушли.	Alle sind gegangen.	Statement	Informal
100.1	Ami ar pari na.	আমি আর পারি না।	ꠀꠝꠤ ꠀꠞ ꠙꠣꠞꠤ ꠘꠣ.	আমি আর পারি না।	I can not do it anymore.	Я больше не могу.	Ich kann nicht mehr.	Expression	Standard/Written
100.2	Ami ar fari na.	আমি আর ফারি না।	ꠀꠝꠤ ꠀꠞ ꠚꠣꠞꠤ ꠘꠣ.	আমি আর পারি না।	I can not do it anymore.	Я больше не могу.	Ich kann nicht mehr.	Expression	Colloquial/Spoken
